x,l,err_fwd_rel,err_bwd_rel,err_fwd_abs,err_bwd_abs
0.10,26,2.021077635208293e-16,2.314177837936730e+00,2.775557561562891e-17,3.178073758767107e-01
0.10,27,3.620479443774716e-16,9.338849294914334e+00,2.081668171172169e-17,5.369561030383383e-01
0.10,28,1.931226061904327e-16,1.398438845844304e+00,2.775557561562891e-17,2.009835922128689e-01
0.10,29,8.907122052652287e-16,2.046302147736877e+01,2.428612866367530e-17,5.579440469202354e-01
0.10,30,1.923575112778294e-16,5.860017873724189e-01,2.775557561562891e-17,8.455514324479363e-02
0.10,31,1.296862068214749e-14,2.773978468089372e+02,2.602085213965211e-17,5.565841219806547e-01
0.10,32,1.991253117835240e-16,1.984733764847419e-01,2.775557561562891e-17,2.766470399654758e-02
0.10,33,1.062048301168222e-15,1.817194207068909e+01,3.122502256758253e-17,5.342688281031331e-01
0.10,34,0.000000000000000e+00,1.020381242054289e+00,0.000000000000000e+00,1.321334229463842e-01
0.10,35,6.414260638237103e-16,9.113674010780308e+00,3.469446951953614e-17,4.929548439193280e-01
0.10,36,0.000000000000000e+00,1.958568010178194e+00,0.000000000000000e+00,2.256846998597410e-01
0.10,37,5.524438583657750e-16,5.773517485197151e+00,4.163336342344337e-17,4.351047587059378e-01
0.10,38,1.425951827059860e-16,3.140281717483579e+00,1.387778780781446e-17,3.056215680290777e-01
0.10,39,2.995911394806942e-16,3.924746656137707e+00,2.775557561562891e-17,3.636075578718394e-01
0.10,40,1.811897965398515e-16,4.828061493062181e+00,1.387778780781446e-17,3.697935215080390e-01
0.10,41,1.315219242940469e-16,2.669546488430352e+00,1.387778780781446e-17,2.816823119672796e-01
0.10,42,5.147856597605460e-16,7.727739813434318e+00,2.775557561562891e-17,4.166547040751910e-01
0.10,43,0.000000000000000e+00,1.695109845256060e+00,0.000000000000000e+00,1.927695841392237e-01
0.10,44,8.040263530763592e-16,1.474231693488419e+01,2.428612866367530e-17,4.453010831191922e-01
0.10,45,0.000000000000000e+00,8.570195714884221e-01,0.000000000000000e+00,1.004151569414452e-01
0.10,46,3.812499899764572e-15,7.150328166286319e+01,2.428612866367530e-17,4.554853623593653e-01
0.10,47,1.197027548998005e-16,7.030388433261524e-02,1.387778780781446e-17,8.150709560944214e-03
0.10,48,1.245901465279763e-15,2.678990927782841e+01,2.081668171172169e-17,4.476092452441487e-01
0.10,49,2.517241910848927e-16,7.312047680308399e-01,2.775557561562891e-17,8.062399224373309e-02
0.10,50,5.448564043449901e-16,1.106359164826812e+01,2.081668171172169e-17,4.226935098750066e-01
