x,l,err_fwd_rel,err_bwd_rel,err_fwd_abs,err_bwd_abs
0.99,22,1.752661347949342e-15,1.265368272626141e-01,5.551115123125783e-16,4.007736556019231e-02
0.99,23,1.108419642961868e-15,1.718456495643448e-01,3.885780586188048e-16,6.024383392499821e-02
0.99,24,5.903267625172777e-16,2.084079775447186e-01,2.220446049250313e-16,7.839025769357261e-02
0.99,25,2.822750999385258e-16,2.396933603837890e-01,1.110223024625157e-16,9.427437546061002e-02
0.99,26,1.380493714492669e-16,2.678324528759809e-01,5.551115123125783e-17,1.076983374871879e-01
0.99,27,0.000000000000000e+00,2.942983325030170e-01,0.000000000000000e+00,1.185110372584032e-01
0.99,28,2.808282819520028e-16,3.202561682183345e-01,1.110223024625157e-16,1.266096738059279e-01
0.99,29,8.754081829765282e-16,3.467825873971307e-01,3.330669073875470e-16,1.319405120563180e-01
0.99,30,1.702724406559383e-15,3.750506601263658e-01,6.106226635438361e-16,1.344988256279209e-01
0.99,31,2.688124946346709e-15,4.065517716288757e-01,8.881784197001252e-16,1.343280231606646e-01
0.99,32,4.304963233730302e-15,4.434518703591731e-01,1.276756478318930e-15,1.315179753145345e-01
0.99,33,5.810862922682111e-15,4.892883193067229e-01,1.498801083243961e-15,1.262025748590614e-01
0.99,34,7.991373176727041e-15,5.505606068142456e-01,1.720845688168993e-15,1.185565766182914e-01
0.99,35,1.112076562491490e-14,6.410200419346930e-01,1.887379141862766e-15,1.087917772453543e-01
0.99,36,1.615078882542324e-14,7.962319661015326e-01,1.970645868709653e-15,9.715260669265979e-02
0.99,37,2.730200312604022e-14,1.146388391450006e+00,1.998401444325282e-15,8.391121364448025e-02
0.99,38,8.295075321230146e-14,2.864204198199759e+00,2.008809785181143e-15,6.936213593353278e-02
0.99,39,8.216294835415467e-14,2.243799877292791e+00,1.970645868709653e-15,5.381665394161422e-02
0.99,40,2.676853587273284e-14,5.332340224279577e-01,1.887379141862766e-15,3.759693008414672e-02
0.99,41,1.551369634873122e-14,1.836644852437020e-01,1.776356839400250e-15,2.103004062885754e-02
0.99,42,1.055227335641256e-14,2.862352044800085e-02,1.637578961322106e-15,4.442007262457304e-03
0.99,43,7.522685984784173e-15,6.175423980568146e-02,1.443289932012704e-15,1.184806500642407e-02
0.99,44,5.578328908400343e-15,1.229716476014328e-01,1.249000902703301e-15,2.753363980202203e-02
0.99,45,3.983958963240007e-15,1.687603002067936e-01,9.992007221626409e-16,4.232609205941104e-02
0.99,46,2.243590474643888e-15,2.056106698910981e-01,6.106226635438361e-16,5.595964875089901e-02
0.99,47,9.648053620167117e-16,2.370540463746013e-01,2.775557561562891e-16,6.819584310132681e-02
0.99,48,0.000000000000000e+00,2.652504714990265e-01,0.000000000000000e+00,7.882740734140689e-02
0.99,49,1.292654958367734e-15,2.916839355055249e-01,3.885780586188048e-16,8.768153996186970e-02
0.99,50,2.607838353610443e-15,3.175168634024522e-01,7.771561172376096e-16,9.462249543867818e-02
